data,ticker,cod_bdi,preco_ab,preco_max,preco_min,preco_med,preco_fech,qtd_neg,qtde_tit,vol_fin
2021-11-29,VALE3,02,70.28,70.6,69.16,69.78,69.5,68404,18164000,1267518433.0
2021-11-30,VALE3,02,69.0,71.47,68.69,69.81,69.95,99065,42668700,2978930384.0
2021-12-01,VALE3,02,71.3,71.95,69.97,70.99,70.23,80962,28194700,2001717637.0
2021-12-02,VALE3,02,70.97,73.56,70.11,72.24,73.49,76102,24888400,1798075260.0
2021-12-03,VALE3,02,73.09,74.34,71.0,72.15,71.87,91116,34451500,2485819340.0
2021-12-06,VALE3,02,72.87,75.99,71.96,74.7,75.77,74546,28848800,2155191182.0
2021-12-07,VALE3,02,78.28,79.81,76.1,77.69,76.33,97247,37125100,2884479162.0
2021-12-08,VALE3,02,76.99,76.99,74.98,75.74,75.76,71409,24281000,1839107918.0
2021-12-09,VALE3,02,74.89,75.95,74.45,75.18,75.18,50785,16925200,1272486190.0
2021-12-10,VALE3,02,75.5,76.2,74.84,75.41,75.65,57809,16827100,1269014654.0
2021-12-13,VALE3,02,77.5,78.73,77.39,78.1,77.86,82614,31699100,2475941571.0
2021-12-14,VALE3,02,78.52,78.89,77.23,78.07,77.85,66772,21063500,1644633843.0
2021-12-15,VALE3,02,78.08,78.18,76.2,77.12,77.41,74844,22112200,1705418124.0
2021-12-16,VALE3,02,79.0,80.46,78.46,79.69,80.44,93074,30125700,2400807717.0
2021-12-17,VALE3,02,79.9,80.67,79.07,79.44,79.17,87503,39631800,3148579121.0
2021-12-20,VALE3,02,78.0,78.9,77.28,78.13,78.28,65575,19195400,1499868115.0
2021-12-21,VALE3,02,79.8,80.39,79.15,79.84,80.34,58829,19590300,1564221319.0
2021-12-22,VALE3,02,79.89,80.15,78.58,79.6,79.92,51684,18655600,1484995654.0
2021-12-23,VALE3,02,79.95,80.06,78.8,79.35,79.15,38100,13121200,1041248109.0
2021-12-27,VALE3,02,78.87,79.45,78.26,78.96,78.95,41718,11371400,897996902.0
2022-02-03,VALE3,02,86.3,86.78,85.32,86.01,85.75,57873,19179400,1649650039.0
2022-01-03,VALE3,02,79.0,79.97,78.0,78.76,78.0,74000,18557200,1461746493.0
2022-02-21,VALE3,02,86.6,87.99,85.5,87.05,85.9,44717,14561000,1267630502.0
2022-01-19,VALE3,02,88.48,89.0,87.88,88.3,88.21,91914,29332500,2590272918.0
2022-02-04,VALE3,02,85.75,88.17,85.55,87.19,87.98,61188,24535400,2139338183.0
2022-01-04,VALE3,02,78.51,79.07,76.9,77.65,77.08,64998,18178700,1411613046.0
2022-02-22,VALE3,02,86.69,87.4,85.8,86.83,87.39,51348,23591200,2048499437.0
2022-01-20,VALE3,02,88.8,88.97,86.64,87.64,86.71,71741,22748800,1993928950.0
2022-02-07,VALE3,02,88.15,90.24,88.15,89.57,90.13,72138,24915800,2231940527.0
2022-01-05,VALE3,02,77.37,78.68,77.13,77.86,77.81,70951,22039000,1716007602.0
2022-02-23,VALE3,02,88.09,88.34,85.55,86.54,86.47,64615,24413800,2112888555.0
2022-01-21,VALE3,02,86.47,86.73,84.34,85.21,84.91,83402,33210000,2830005220.0
2022-02-08,VALE3,02,90.45,91.48,89.5,90.75,91.39,75172,26598600,2413957066.0
2022-01-06,VALE3,02,78.64,80.35,78.31,79.62,79.38,69455,22044100,1755365619.0
2022-02-24,VALE3,02,84.62,88.04,83.73,85.7,87.54,84752,37212500,3189273261.0
2022-01-24,VALE3,02,83.7,83.96,82.08,83.07,83.87,94360,29040100,2412433881.0
2022-02-09,VALE3,02,90.0,91.8,89.33,90.93,91.41,80478,24815300,2256606665.0
2022-01-07,VALE3,02,80.4,84.0,79.79,82.16,84.0,91988,35213100,2893194149.0
2022-01-25,VALE3,02,84.06,85.05,83.05,83.98,84.06,68318,22490500,1888917451.0
2022-02-25,VALE3,02,86.52,92.41,85.1,89.75,92.28,7555,51028300,4580107303.0
2022-02-10,VALE3,02,92.45,94.48,92.03,93.49,93.87,625,47888900,4477396403.0
2022-01-10,VALE3,02,82.49,84.27,82.3,83.16,83.0,80858,25056700,2083872689.0
2022-01-26,VALE3,02,85.9,86.56,83.82,85.15,84.3,78289,25806800,2197484142.0
2022-03-02,VALE3,02,98.97,99.7,97.06,98.64,99.65,3644,42191500,4162106797.0
2022-02-11,VALE3,02,93.36,93.4,91.6,92.4,91.97,92235,34555300,3193244608.0
2022-01-11,VALE3,02,83.48,85.15,83.31,84.39,84.58,77435,28418800,2398344526.0
2022-01-27,VALE3,02,85.0,85.46,83.27,84.4,84.49,55693,20994900,1771974153.0
2022-03-03,VALE3,02,100.2,101.26,99.5,100.33,99.7,4478,38621400,3875004070.0
2022-02-14,VALE3,02,91.11,92.17,90.82,91.37,91.57,62297,22804400,2083722487.0
2022-01-12,VALE3,02,86.49,86.58,84.93,85.73,85.5,86852,27335400,2343640024.0
2022-01-28,VALE3,02,85.58,86.35,82.83,84.35,83.66,79945,28453000,2400117598.0
2022-03-04,VALE3,02,98.68,102.09,98.12,100.54,101.97,87610,30533200,3070046530.0
2022-02-15,VALE3,02,89.02,89.94,87.7,88.88,88.85,85651,29624900,2633109041.0
2022-01-13,VALE3,02,84.84,85.23,83.7,84.38,84.2,65735,23154200,1953844601.0
2022-01-31,VALE3,02,82.94,82.94,80.87,81.45,80.87,81046,31397700,2557570964.0
2022-03-07,VALE3,02,104.44,105.9,103.87,104.99,105.07,34250,55305300,5806541327.0
2022-02-16,VALE3,02,89.44,90.62,89.1,89.74,89.5,58373,20774700,1864467120.0
2022-01-14,VALE3,02,83.72,84.93,82.91,84.0,84.69,65238,21183400,1779526167.0
2022-02-01,VALE3,02,81.5,85.33,81.37,83.83,85.31,74981,24131300,2022961977.0
2022-03-08,VALE3,02,106.99,107.11,99.72,102.2,100.46,31103,53060200,5422988564.0
2022-02-17,VALE3,02,88.85,89.0,85.37,86.58,85.65,84583,36259300,3139570949.0
2022-01-17,VALE3,02,84.0,84.6,84.0,84.28,84.25,36709,9688500,816637603.0
2022-02-02,VALE3,02,85.5,86.29,84.72,85.63,85.79,56549,17489000,1497684678.0
2022-03-09,VALE3,02,95.79,95.8,92.56,93.76,94.19,27173,41051200,3848973829.0
2022-02-18,VALE3,02,86.44,87.03,85.43,86.02,85.83,55924,22699300,1952802915.0
2022-01-18,VALE3,02,84.58,86.88,84.48,86.09,86.31,74586,24080200,2073114513.0
2022-03-10,VALE3,02,94.5,97.3,94.08,95.92,97.3,97109,33107000,3175864571.0
2022-04-12,VALE3,02,95.1,95.61,93.24,94.33,93.37,47615,16822600,1587017095.0
2022-04-29,VALE3,02,86.18,87.2,83.29,85.09,83.29,5838,47492200,4041578740.0
2022-03-28,VALE3,02,95.7,96.34,93.61,95.15,95.34,56830,16274200,1548531700.0
2022-03-11,VALE3,02,97.43,98.41,96.76,97.62,96.79,80488,24321500,2374339177.0
2022-04-13,VALE3,02,93.49,94.38,92.81,93.47,93.4,63049,23674700,2213040072.0
2022-05-02,VALE3,02,83.16,83.2,80.64,81.92,82.92,1764,31473600,2578434660.0
2022-03-29,VALE3,02,95.34,95.66,93.4,94.72,94.52,72370,38228800,3621321167.0
2022-03-14,VALE3,02,94.98,95.2,91.25,92.3,91.6,96225,37172800,3431274344.0
2022-04-14,VALE3,02,93.31,94.0,91.36,92.23,92.09,49437,24980700,2304078903.0
2022-05-03,VALE3,02,82.95,84.21,82.19,83.16,82.5,69778,27364600,2275862991.0
2022-03-30,VALE3,02,96.32,97.11,95.27,96.01,95.87,67259,22007500,2113070524.0
2022-03-15,VALE3,02,88.99,89.58,87.28,88.59,88.97,15917,47128500,4175584223.0
2022-04-18,VALE3,02,91.61,92.0,90.01,90.76,90.57,42720,14812600,1344417904.0
2022-05-04,VALE3,02,81.93,82.18,79.85,80.92,81.81,82617,34032200,2754028432.0
2022-03-31,VALE3,02,96.42,96.89,95.36,95.95,95.6,46741,17981400,1725426575.0
2022-03-16,VALE3,02,91.89,93.88,89.31,91.15,91.13,4922,37906100,3455468976.0
2022-04-19,VALE3,02,89.69,89.69,86.84,87.88,87.68,97219,34550900,3036460254.0
2022-05-05,VALE3,02,81.55,83.2,79.08,80.41,80.33,92401,30906600,2485232692.0
2022-04-01,VALE3,02,96.78,97.5,96.07,96.9,96.96,69402,22457700,2176331937.0
2022-03-17,VALE3,02,92.9,94.98,92.56,93.96,94.3,3378,40663500,3820752480.0
2022-04-20,VALE3,02,86.61,86.67,84.4,85.22,85.4,79006,29635700,2525618640.0
2022-05-06,VALE3,02,79.2,80.9,78.25,79.64,79.76,76105,25204100,2007469278.0
2022-04-04,VALE3,02,96.77,98.25,96.55,97.83,97.94,48823,16914000,1654729485.0
2022-03-18,VALE3,02,95.41,96.09,93.8,95.54,96.09,91905,46084600,4403258036.0
2022-04-22,VALE3,02,83.25,83.4,80.08,81.62,80.45,534,39058200,3187947338.0
2022-04-05,VALE3,02,97.36,97.78,94.82,96.31,95.11,71803,25764400,2481391471.0
2022-05-09,VALE3,02,77.53,77.98,76.08,76.9,76.49,92895,37050200,2849183030.0
2022-03-21,VALE3,02,97.33,99.43,97.15,98.52,98.81,86146,25374600,2499913639.0
2022-04-25,VALE3,02,77.94,79.61,77.54,78.46,79.08,91943,38943700,3055693718.0
2022-04-06,VALE3,02,95.33,96.72,95.33,96.24,96.55,76495,22615800,2176732752.0
2022-05-10,VALE3,02,76.27,76.94,74.87,75.68,75.54,86294,31905000,2414772501.0
2022-03-22,VALE3,02,98.51,98.96,96.19,96.92,96.6,5859,29489800,2858274469.0
2022-05-11,VALE3,02,77.37,79.89,77.12,78.8,78.69,89588,33933400,2674129618.0
2022-04-26,VALE3,02,79.08,79.32,77.85,78.63,78.0,99850,37069400,2914874526.0
2022-04-07,VALE3,02,95.5,97.69,95.14,96.58,97.13,62186,19946600,1926507809.0
2022-03-23,VALE3,02,97.5,98.94,96.29,97.28,96.39,87881,26309600,2559611040.0
2022-04-27,VALE3,02,80.46,82.7,80.15,81.68,82.17,8663,49408800,4036127353.0
2022-04-08,VALE3,02,96.64,97.4,94.62,95.61,95.15,70595,26887400,2570939002.0
2022-05-12,VALE3,02,77.05,77.9,75.87,77.15,77.9,72330,27737200,2140115195.0
2022-03-24,VALE3,02,96.2,97.6,95.31,96.67,96.91,82620,23122800,2235507995.0
2022-04-28,VALE3,02,85.02,85.55,80.83,83.63,84.2,19594,56032800,4686048700.0
